passage_id,title,anchor_lexile,review_status,target_band,cefr_level,genre,topic,word_count,item_count,diagnostic_ready,validation_flags
vq_fa96e474ba6a,Reading Quest [Literature]: PET全_Page_29_03261514,850,reviewed_candidate,800L-950L,B1,literature,PET_part_3,192,6,False,structural_candidate_must_include_exactly_5_items;diagnostic_item_count_not_5;diagnostic_skill_coverage_incomplete
vq_c0b19ac29420,Reading Quest [Literature]: PET全_Page_64_03261514,850,reviewed_candidate,800L-950L,B1,literature,PET_part_4,193,5,False,diagnostic_skill_coverage_incomplete
vq_a607a0199010,Reading Quest [Literature]: PET全_Page_31_03261514,850,reviewed_candidate,800L-950L,B1,literature,story,205,6,False,structural_candidate_must_include_exactly_5_items;diagnostic_item_count_not_5;diagnostic_skill_coverage_incomplete
vq_6abd4e0b2ec5,Reading Quest [Literature]: PET全_Page_47_03261514,850,reviewed_candidate,800L-950L,B1,literature,PET_part_4,200,5,False,diagnostic_skill_coverage_incomplete
vq_ff1f55b292d9,Reading Quest [Literature]: PET全_Page_9_03261327,850,reviewed_candidate,800L-950L,B1,literature,PET_part_3,191,5,False,diagnostic_skill_coverage_incomplete
vq_cf05af6ab246,Reading Quest [Literature]: PET全_Page_45_03261514,850,reviewed_candidate,800L-950L,B1,literature,PET_part_3,183,5,False,diagnostic_skill_coverage_incomplete
vq_792afa73f104,Reading Quest [Literature]: PET全_Page_61_03261514,850,reviewed_candidate,800L-950L,B1,literature,PET_part_3,178,5,False,diagnostic_skill_coverage_incomplete
vq_f699f3a0c4ce,Reading Quest [Literature]: PET全_Page_48_03261514,850,reviewed_candidate,800L-950L,B1,literature,PET_part_4,186,5,False,diagnostic_skill_coverage_incomplete
vq_b385b66a703e,Reading Quest [Vocabulary]: PET全_Page_33_03261514,850,reviewed_candidate,800L-950L,B1,vocabulary,PET_part_4,199,5,False,diagnostic_skill_coverage_incomplete
vq_a6395706c720,Reading Quest [Vocabulary]: PET全_Page_29_03261514,850,reviewed_candidate,800L-950L,B1,vocabulary,PET_part_4,163,5,False,diagnostic_skill_coverage_incomplete
vq_4695fd9f1b42,Reading Quest [Vocabulary]: PET全_Page_56_03261514,850,reviewed_candidate,800L-950L,B1,vocabulary,PET_part_4,197,5,False,item_5_skill_mapped_from_conclusion;diagnostic_skill_coverage_incomplete
vq_5f20d02399b3,Reading Quest [Vocabulary]: PET全_Page_43_03261514,850,reviewed_candidate,800L-950L,B1,vocabulary,PET_part_4,183,5,True,
vq_89dda07ee4d1,Reading Quest [Vocabulary]: PET全_Page_15_03261327,850,reviewed_candidate,800L-950L,B1,vocabulary,PET_part_3,198,5,False,diagnostic_skill_coverage_incomplete
vq_6c9459a3d134,Reading Quest [Vocabulary]: PET全_Page_4_03261327,850,reviewed_candidate,800L-950L,B1,vocabulary,PET_part_3,188,5,False,diagnostic_skill_coverage_incomplete
vq_147afb5ee1cc,Reading Quest [Vocabulary]: PET全_Page_46_03261514,850,reviewed_candidate,800L-950L,B1,vocabulary,PET_part_3,196,5,False,diagnostic_skill_coverage_incomplete
vq_e4fbf8f73195,Reading Quest [Vocabulary]: PET全_Page_41_03261514,850,reviewed_candidate,800L-950L,B1,vocabulary,PET_part_4,206,5,False,diagnostic_skill_coverage_incomplete
vq_bc0ffea8e6d4,Reading Quest [Vocabulary]: PET全_Page_64_03261514,850,reviewed_candidate,800L-950L,B1,vocabulary,PET_part_3,188,5,False,diagnostic_skill_coverage_incomplete
vq_f7dd8057bc29,Reading Quest [Vocabulary]: PET全_Page_10_03261327,850,reviewed_candidate,800L-950L,B1,vocabulary,PET_part_4,175,5,False,diagnostic_skill_coverage_incomplete
vq_ffb99afadf12,Reading Quest [Informational]: PET全_Page_33_03261514,850,reviewed_candidate,800L-950L,B1,informational,informational,186,5,False,diagnostic_skill_coverage_incomplete
vq_2d4164608bdd,Reading Quest [Informational]: PET全_Page_29_03261514,850,reviewed_candidate,800L-950L,B1,informational,informational,192,5,False,diagnostic_skill_coverage_incomplete
vq_8ff049df92d2,Reading Quest [Informational]: PET全_Page_56_03261514,850,reviewed_candidate,800L-950L,B1,informational,informational,184,5,False,diagnostic_skill_coverage_incomplete
vq_9ecdb1e43fdb,Reading Quest [Informational]: PET全_Page_43_03261514,850,reviewed_candidate,800L-950L,B1,informational,informational,174,5,False,diagnostic_skill_coverage_incomplete
vq_2225110bc641,Reading Quest [Informational]: PET全_Page_15_03261327,850,reviewed_candidate,800L-950L,B1,informational,informational,190,5,False,diagnostic_skill_coverage_incomplete
vq_9c150f07353f,Reading Quest [Informational]: PET全_Page_4_03261327,850,reviewed_candidate,800L-950L,B1,informational,informational,188,5,False,diagnostic_skill_coverage_incomplete
vq_f649b491b3dd,Reading Quest [Informational]: PET全_Page_46_03261514,850,reviewed_candidate,800L-950L,B1,informational,informational,192,5,False,diagnostic_skill_coverage_incomplete
